dateConsumed,mealsLogged
2015-05-04,6
2015-05-05,5
2015-05-06,4
2015-05-07,5
2015-05-08,6
2015-05-09,4
2015-05-10,5
2015-05-11,5
2015-05-12,6
2015-05-13,3
2015-05-14,4
2015-05-15,6
2015-05-16,5
2015-05-17,5
2015-05-18,6
2015-05-19,3
2015-05-20,4
2015-05-21,6
2015-05-22,4
2015-05-23,3
2015-05-24,3
2015-05-25,5
2015-05-26,5
2015-05-27,4
2015-05-28,4
2015-05-29,3
2015-05-30,3
2015-05-31,3
2015-06-01,5
2015-06-02,4
2015-06-03,4
2015-06-04,5
2015-06-05,2
